lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-118.6275,43.6425,7/5/1929 14:00,buchanan  (or burns),or,us,disk,60,we were traveling east of burns&#44clmbing up thru a cut in the rim rocks when this object very slowely flew over the top of us&#44 some 50 f,1929,7,5
-102.3019444,40.5844444,2/15/1931 14:00,holyoke (6-8 miles southwest of),co,us,oval,60,In the winter of 1931&#44 I saw a flying machine (UFO) as I was riding on a horse in the draw of a pasture.,1931,2,15
-97.2136111,38.9172222,6/1/1931 13:00,abilene,ks,us,disk,1800,This is a what my mother related to me regarding an experience my grandparents had.  They did not tell anyone for 20 or more years beca,1931,6,1
-98.0027778,46.9233333,9/15/1934 15:30,valley city (6.5 miles east of),nd,us,disk,5,Two brothers observe&#44 hear&#44 three black discs streak overhead&#44 moving from SE to NW; below high overcast. 500 Lights On Object0: Ye,1934,9,15
-149.3622222,61.4580556,10/15/1936 17:00,eklutna,ak,us,cigar,180,Two men approached by a cigar-shaped object in the night sky.,1936,10,15
-117.4341667,34.0922222,8/15/1937 21:00,fontana,ca,us,light,600,A cylinder light came on above us with no sound .,1937,8,15
-88.0641667,34.9180556,6/1/1939 20:00,waterloo,al,us,fireball,300,4 high school students see bright&#44 ground-level&#44 slow moving fireball in the late 1930&#39s,1939,6,1
-82.4944444,34.5227778,6/30/1939 20:00,belton,sc,us,sphere,10,Dark red arched acrossed southern sky at dusk in summer of 1939.,1939,6,30
-91.3847222,40.3972222,7/7/1939 2:00,keokuk,ia,us,oval,600,Mother sees UFO above railroad tracks in 1939.,1939,7,7
-84.4102778,33.66,6/1/1942 22:30,hapeville,ga,us,unknown,180,bright object approchjng Venus&#44 1940&#39s,1942,6,1
-84.5127778,36.4980556,7/15/1942 1:00,oneida,tn,us,rectangle,120,Two children walking along highway saw unfamiliar object in sky.,1942,7,15
-117.1563889,32.7152778,1/1/1944 12:00,san diego,ca,us,cigar,180,A sighting of one silver or white enlongated cylindrical or cigar shaped craft without any visual control surfaces heading west to east,1944,1,1
-106.3063889,35.8880556,6/1/1944 12:00,los alamos,nm,us,disk,3600,Disk hovers over Los Alamos during the development of the atomic bombs; pursued by planes.,1944,6,1
-82.9483333,30.5180556,6/1/1945 13:30,jasper,fl,us,fireball,300,I belived it would be to our best Intrest to check this out .,1945,6,1
-80.2444444,36.0997222,6/7/1945 7:00,winston-salem,nc,us,disk,2,I always thought this sighting should be on an official list&#44 now&#44 60 yrs. later&#44 it is.,1945,6,7
-76.2986111,36.8352778,7/10/1945 1:30,portsmouth,va,us,formation,180,1945  RED  FLICKERING  V FORMATION  CRAFTS  MOVING  EXTREEML  FAST .,1945,7,10
-120.6155556,39.7811111,6/30/1946 19:00,blairsden,ca,us,sphere,10,Looked up and saw sphere or disk 30-50 feet in diameter which was white or pale green in color.,1946,6,30
-70.2413889,43.6413889,7/1/1946 13:30,south portland,me,us,oval,10,motionless&#44 dark oblong&#44 noon sky over ocean&#44 felt Energy-Pull of Observing craft; when spotted&#44accelerated straight upwards fast,1946,7,1
-114.3613889,32.7552778,9/30/1946 20:30,dome,az,us,flash,40,observed sudden&#44very bright flash of light from large &#44flying object that appeared to be on fire.,1946,9,30
-76.1477778,43.0480556,2/20/1947 22:15,syracuse,ny,us,disk,360,1947-Chance observation of night sky reveals many UFO&#39s traversing upper atmosphere....,1947,2,20
-81.6955556,41.4994444,6/1/1947 2:30,cleveland,oh,us,light,300,It was about 2:15 in the morning when my wife woke me from a deep sleep and began to complain of stomach problems. As I was getting out,1947,6,1
-79.8425,40.5216667,6/13/1947 20:18,oakmont,pa,us,unknown,600,a very brillant blue-white object coming towards us lowering above us and hovering over us a few minutes before shooting straight up,1947,6,13
-114.1352778,42.5963889,7/15/1947 15:00,hazelton (northeast of),id,us,disk,600,The Object was Huge&#44Saucer-shaped&#44beautiful silver&#44no sound&#44no exhaust-No lights as it was early afternoon.,1947,7,15
-89.6852778,36.8472222,7/15/1947 21:00,morehouse,mo,us,cylinder,1140,Looked like airplanes without windows&#44  wings&#44 or tails.,1947,7,15
-74.1316667,44.3294444,8/12/1947 22:00,saranac lake,ny,us,disk,360,6-7 Disc shaped objects.  ((REPORT FROM:  BRIAN VIKE&#44 BRITISH COLUMBIA&#44 CANADA.)),1947,8,12
-101.3969444,35.6677778,6/15/1948 16:00,borger,tx,us,disk,10,Dull silver disk flying west at incredible speed making no sound above swimmers in pool.,1948,6,15
-76.6125,39.2902778,6/30/1948 0:00,baltimore,md,us,oval,8,Two UFO&quot;S  in flight over Baltimore leaving trails no sound that influence me.,1948,6,30
-119.2419444,34.4480556,7/15/1948 22:00,ojai,ca,us,light,900,UFO sighting in Ojai&#44 CA in 1948,1948,7,15
-122.5438889,37.9061111,8/15/1949 21:00,mill valley,ca,us,light,60,3 lights appeared&#44 manuevering rapidly and at impossible flight angles&#44 changing formation until winking out after little more than a m,1949,8,15
-86.7727778,33.5833333,8/15/1949 22:00,tarrant city,al,us,circle,600,Glowing large orange ball in Alabama sky August&#44 1949.,1949,8,15
-77.0766667,39.0255556,6/7/1950 20:00,kensington,md,us,oval,600,Reflective oval seen hovering over Washington D.C.,1950,6,7
-85.6797222,30.7916667,6/15/1950 20:00,bonifay (near),fl,us,disk,10,The objects were discs&#44 white&#44 and I estimate were moving around 100 mph in a southerly direction.,1950,6,15
-88.5666667,34.6580556,6/20/1950 10:00,booneville,ms,us,disk,4,Youngster observes shiny disc-shaped craft,1950,6,20
-82.5188889,37.4791667,10/1/1950 11:00,pikeville,ky,us,disk,600,SEVENTY SOME  FLYING DISK OBSERVED IN  1950,1950,10,1
-122.4275,37.4636111,12/12/1950 22:00,half moon bay,ca,us,other,600,3 blips on a military radar screen flew off the radar screen when military aircraft  approached them.,1950,12,12
-86.8025,33.5205556,6/30/1951 19:00,birmingham,al,us,unknown,3,I was suddenly aware of most of the sky being filled with a white light. No sound. It moved away quickly (one to three seconds) with no,1951,6,30
-118.1844444,33.9866667,6/15/1952 23:00,maywood,ca,us,circle,300,7 balls of *orange moon* lights in 2 V formations observed for 3 to 5 minutes until all sped off in 7 differen directions,1952,6,15
-84.5555556,42.7325,6/21/1952 22:00,lansing (few miles northwest of&#44 in the country),mi,us,other,2,It was like a star that moved&#44 it was 1952 before there was any space traffic or objects and was not an aircraft.,1952,6,21
-122.2272222,47.3075,6/30/1952 18:30,auburn,wa,us,oval,60,Early nighttime sighting of huge oval object for 1 minute.,1952,6,30
-80.1938889,25.7738889,6/30/1952 21:00,miami,fl,us,disk,18000,No one is able to believe,1952,6,30
-118.2616667,33.78,7/15/1952 12:00,wilmington,ca,us,disk,120,Three flying saucers suddenly appeared  in the sky&#44 hovered&#44 darted forwarded&#44 hovered&#44 then disappeared.,1952,7,15
-88.7552778,34.0016667,7/22/1952 9:30,okolona,ms,us,oval,300,Oval UFO paces occupants in automobile for 5 minutes on major highway,1952,7,22
-71.4741667,41.9697222,7/30/1952 15:00,manville,ri,us,sphere,10,Group of lights moving across sky during daylight hours.,1952,7,30
-82.4586111,27.9472222,8/1/1952 21:30,tampa,fl,us,oval,9000,Triangulation radar fix (USAF&#44 civil&#44 Navy).  I ordered intercept by SAC B-29.  B-29 tracked object. Central fire control system locked,1952,8,1
-75.1641667,39.9522222,9/9/1952 20:00,philadelphia,pa,us,circle,180,saucers in a line over Phila Pa.,1952,9,9
-119.2833333,46.2858333,10/15/1952 21:00,richland,wa,us,circle,5,Night sighting of seven large luminous UFOs flying in &quot;V&quot; formation,1952,10,15
-87.65,41.85,12/6/1952 19:00,chicago,il,us,other,45,Radar siting near Chicago- Dec. 1952. Object moved about 10 miles per second.,1952,12,6
-81.6955556,41.4994444,6/30/1953 0:00,cleveland,oh,us,fireball,35,The object came from the north from Canada meteor shaped fire ball with crackling sounds and a little tail and sparks glowing red and o,1953,6,30
